"tour","home_team","guest_team","home_team_scored","guest_team_scored"
28,"Олімпік","Карпати","0","2"
28,"Зоря","Маріуполь","3","1"
28,"Верес","Динамо","1","4"
29,"Маріуполь","Шахтар","0","1"
29,"Карпати","Олександрія","1","2"
29,"Зірка","Олімпік","2","0"
29,"Сталь","Чорноморець","1","2"
29,"Зоря","Верес","1","0"
29,"Ворскла","Динамо","0","1"
30,"Динамо","Маріуполь","1","1"
30,"Верес","Ворскла","0","0"
30,"Чорноморець","Карпати","1","1"
30,"Шахтар","Зоря","2","1"
30,"Олімпік","Сталь","0","2"
30,"Олександрія","Зірка","1","0"
31,"Зірка","Карпати","1","1"
31,"Сталь","Олександрія","1","2"
31,"Олімпік","Чорноморець","1","0"
31,"Маріуполь","Ворскла","1","1"
31,"Зоря","Динамо","0","1"
31,"Шахтар","Верес","1","0"
32,"Олександрія","Олімпік","2","0"
32,"Чорноморець","Зірка","1","0"
32,"Карпати","Сталь","3","0"
32,"Динамо","Шахтар","2","1"
32,"Ворскла","Зоря","2","0"
32,"Верес","Маріуполь","1","1"
